PMID,Title,Authors,Citation,Journal/Book,Publication Year,Create Date,DOI,ST,Times cited
18077311,Intercontinental emergence of Escherichia coli clone O25:H4-ST131 producing CTX-M-15,"Nicolas-Chanoine MH, Blanco J, Leflon-Guibout V, Demarty R, Alonso MP, Caniça MM, Park YJ, Lavigne JP, Pitout J, Johnson JR.",J Antimicrob Chemother. 2008 Feb;61(2):273-81. doi: 10.1093/jac/dkm464. Epub 2007 Dec 11.,J Antimicrob Chemother,2008,2007/12/14,10.1093/jac/dkm464,ST131,288
21081548,"Escherichia coli O25b-ST131: a pandemic, multiresistant, community-associated strain","Rogers BA, Sidjabat HE, Paterson DL.",J Antimicrob Chemother. 2011 Jan;66(1):1-14. doi: 10.1093/jac/dkq415. Epub 2010 Nov 16.,J Antimicrob Chemother,2011,2010/11/18,10.1093/jac/dkq415,ST131,245
24982321,"Escherichia coli ST131, an intriguing clonal group","Nicolas-Chanoine MH, Bertrand X, Madec JY.",Clin Microbiol Rev. 2014 Jul;27(3):543-74. doi: 10.1128/CMR.00125-13.,Clin Microbiol Rev,2014,2014/07/02,10.1128/CMR.00125-13,ST131,220
19506063,Molecular epidemiology of KPC-producing Klebsiella pneumoniae isolates in the United States: clonal expansion of multilocus sequence type 258,"Kitchel B, Rasheed JK, Patel JB, Srinivasan A, Navon-Venezia S, Carmeli Y, Brolund A, Giske CG.",Antimicrob Agents Chemother. 2009 Aug;53(8):3365-70. doi: 10.1128/AAC.00126-09. Epub 2009 Jun 8.,Antimicrob Agents Chemother,2009,2009/06/10,10.1128/AAC.00126-09,ST258,218
20572763,Escherichia coli sequence type ST131 as the major cause of serious multidrug-resistant E. coli infections in the United States,"Johnson JR, Johnston B, Clabots C, Kuskowski MA, Castanheira M.",Clin Infect Dis. 2010 Aug 1;51(3):286-94. doi: 10.1086/653932.,Clin Infect Dis,2010,2010/06/25,10.1086/653932,ST131,213
24345742,"The epidemic of extended-spectrum-β-lactamase-producing Escherichia coli ST131 is driven by a single highly pathogenic subclone, H30-Rx","Price LB, Johnson JR, Aziz M, Clabots C, Johnston B, Tchesnokova V, Nordstrom L, Billig M, Chattopadhyay S, Stegger M, Andersen PS, Pearson T, Riddell K, Rogers P, Scholes D, Kahl B, Keim P, Sokurenko EV.",mBio. 2013 Dec 17;4(6):e00377-13. doi: 10.1128/mBio.00377-13.,mBio,2013,2013/12/19,10.1128/mBio.00377-13,ST131,171
19474064,Rapid detection of the O25b-ST131 clone of Escherichia coli encompassing the CTX-M-15-producing strains,"Clermont O, Dhanji H, Upton M, Gibreel T, Fox A, Boyd D, Mulvey MR, Nordmann P, Ruppé E, Sarthou JL, Frank T, Vimont S, Arlet G, Branger C, Woodford N, Denamur E.",J Antimicrob Chemother. 2009 Aug;64(2):274-7. doi: 10.1093/jac/dkp194. Epub 2009 May 27.,J Antimicrob Chemother,2009,2009/05/29,10.1093/jac/dkp194,ST131,109
27006459,Evolutionary History of the Global Emergence of the Escherichia coli Epidemic Clone ST131,"Stoesser N, Sheppard AE, Pankhurst L, De Maio N, Moore CE, Sebra R, Turner P, Anson LW, Kasarskis A, Batty EM, Kos V, Wilson DJ, Phetsouvanh R, Wyllie D, Sokurenko E, Manges AR, Johnson TJ, Price LB, Peto TE, Johnson JR, Didelot X, Walker AS, Crook DW; Modernizing Medical Microbiology Informatics Group (MMMIG).",mBio. 2016 Mar 22;7(2):e02162. doi: 10.1128/mBio.02162-15.,mBio,2016,2016/03/24,10.1128/mBio.02162-15,ST131,109
19687243,"Complete nucleotide sequences of plasmids pEK204, pEK499, and pEK516, encoding CTX-M enzymes in three major Escherichia coli lineages from the United Kingdom, all belonging to the international O25:H4-ST131 clone","Woodford N, Carattoli A, Karisik E, Underwood A, Ellington MJ, Livermore DM.",Antimicrob Agents Chemother. 2009 Oct;53(10):4472-82. doi: 10.1128/AAC.00688-09. Epub 2009 Aug 17.,Antimicrob Agents Chemother,2009,2009/08/19,10.1128/AAC.00688-09,ST131,104
22053197,Insights into a multidrug resistant Escherichia coli pathogen of the globally disseminated ST131 lineage: genome analysis and virulence mechanisms,"Totsika M, Beatson SA, Sarkar S, Phan MD, Petty NK, Bachmann N, Szubert M, Sidjabat HE, Paterson DL, Upton M, Schembri MA.",PLoS One. 2011;6(10):e26578. doi: 10.1371/journal.pone.0026578. Epub 2011 Oct 28.,PLoS One,2011,2011/11/05,10.1371/journal.pone.0026578,ST131,92
